上游,区域,类型,地址
牛总,深圳,移动,120.232.218.212
牛总,深圳,移动,120.232.218.213
牛总,深圳,移动,120.232.218.214
牛总,深圳,移动,120.232.218.215
牛总,深圳,移动,120.232.218.216
牛总,深圳,移动,120.232.218.217
牛总,深圳,移动,120.232.218.218
牛总,深圳,移动,120.232.218.219
牛总,深圳,移动,120.232.218.220
牛总,深圳,移动,120.232.218.221
牛总,深圳,移动,120.232.218.222
牛总,深圳,移动,120.232.218.223
牛总,深圳,移动,120.232.218.224
牛总,深圳,移动,120.232.218.225
牛总,深圳,移动,120.232.218.226
牛总,深圳,移动,120.232.218.227
牛总,深圳,移动,120.232.218.228
牛总,深圳,移动,120.232.218.229
牛总,深圳,移动,120.232.218.230
牛总,深圳,移动,120.232.218.231
牛总,深圳,移动,120.241.39.64
牛总,深圳,移动,120.241.39.65
牛总,深圳,移动,120.241.39.66
牛总,深圳,移动,120.241.39.72
牛总,深圳,移动,120.241.39.73
牛总,深圳,移动,120.241.39.74
牛总,深圳,移动,120.241.39.128
牛总,深圳,移动,120.241.39.129
牛总,深圳,移动,120.241.39.130
牛总,深圳,移动,120.241.39.132
牛总,深圳,移动,120.241.39.134
牛总,深圳,移动,120.241.39.139
牛总,深圳,移动,120.241.39.140
牛总,深圳,移动,120.241.39.141
牛总,深圳,移动,120.241.39.142
牛总,深圳,移动,120.241.39.143
牛总,深圳,移动,120.241.39.213
牛总,深圳,移动,120.241.39.214
牛总,深圳,移动,120.241.40.192
牛总,深圳,移动,120.241.40.193
牛总,深圳,移动,120.241.40.194
牛总,深圳,移动,120.241.40.195
牛总,深圳,移动,120.241.40.196
牛总,深圳,移动,120.241.40.197
牛总,深圳,移动,120.241.40.198
牛总,深圳,移动,120.241.40.199
牛总,深圳,移动,120.241.238.128
牛总,深圳,移动,120.241.238.129
牛总,深圳,移动,120.241.238.130
牛总,深圳,移动,120.241.238.131
牛总,深圳,移动,120.241.238.132
牛总,深圳,移动,120.241.238.133
牛总,深圳,移动,120.241.238.134
牛总,深圳,移动,120.241.238.135
牛总,深圳,移动,120.241.238.136
牛总,深圳,移动,120.241.238.137
牛总,深圳,移动,120.241.238.138
牛总,深圳,移动,120.241.238.172
牛总,深圳,移动,120.241.238.173
牛总,深圳,移动,120.241.238.174
牛总,深圳,移动,120.232.223.180
牛总,深圳,移动,120.232.223.181
牛总,深圳,移动,120.232.223.182
牛总,深圳,移动,120.232.223.183
牛总,深圳,移动,120.232.223.184
牛总,东莞,移动,120.233.42.208
牛总,东莞,移动,120.233.42.209
牛总,东莞,移动,120.233.42.210
牛总,东莞,移动,120.233.42.211
牛总,东莞,移动,120.233.42.212
牛总,东莞,移动,120.233.42.214
牛总,东莞,移动,120.233.42.215
牛总,东莞,移动,120.233.42.216
牛总,东莞,移动,120.233.42.217
牛总,东莞,移动,120.233.42.218
牛总,深圳,移动,120.241.238.176
牛总,深圳,联通,58.254.183.88
牛总,深圳,联通,58.254.183.89
牛总,深圳,联通,58.254.183.90
牛总,深圳,联通,58.254.183.91
牛总,深圳,联通,58.254.183.92
牛总,深圳,联通,58.254.183.93
牛总,深圳,联通,58.254.183.94
牛总,深圳,联通,58.254.183.95
牛总,深圳,联通,103.161.254.68
牛总,深圳,联通,103.161.254.69
牛总,深圳,联通,103.161.254.70
牛总,深圳,联通,103.219.100.4
牛总,深圳,联通,103.219.100.5
牛总,深圳,联通,103.219.100.6
牛总,深圳,联通,103.219.100.7
牛总,深圳,联通,103.219.100.8
牛总,深圳,联通,103.219.100.9
牛总,深圳,联通,103.219.100.10
牛总,深圳,联通,103.219.100.11
牛总,深圳,联通,157.255.22.160
牛总,深圳,联通,157.255.22.161
牛总,深圳,联通,157.255.22.162
牛总,深圳,联通,157.255.22.163
牛总,深圳,联通,157.255.22.164
牛总,深圳,联通,157.255.22.165
牛总,深圳,联通,157.255.22.166
牛总,深圳,联通,157.255.22.167
牛总,深圳,联通,157.255.22.168
牛总,深圳,联通,157.255.22.169
牛总,深圳,联通,157.255.22.170
牛总,深圳,联通,157.255.22.171
牛总,深圳,联通,157.255.22.172
牛总,深圳,联通,103.161.254.157
牛总,深圳,联通,103.161.254.158
牛总,深圳,联通,103.161.254.159
牛总,深圳,联通,103.161.254.160
牛总,深圳,联通,103.161.254.161
牛总,深圳,电信,59.37.173.216
牛总,深圳,电信,59.37.173.217
牛总,深圳,电信,59.37.173.218
牛总,深圳,电信,59.37.173.219
牛总,深圳,电信,59.37.173.220
牛总,深圳,电信,59.37.173.223
牛总,深圳,电信,59.37.173.224
牛总,深圳,电信,59.37.173.225
牛总,深圳,电信,59.37.173.226
牛总,深圳,电信,59.37.173.227
牛总,深圳,电信,183.2.133.45
牛总,深圳,电信,183.2.133.46
牛总,深圳,电信,183.2.133.47
牛总,深圳,电信,183.2.133.209
牛总,深圳,电信,183.2.133.210
牛总,深圳,电信,183.2.133.211
牛总,深圳,电信,183.2.133.212
牛总,深圳,电信,183.2.133.213
牛总,深圳,电信,183.2.133.214
牛总,深圳,电信,183.2.133.215
牛总,深圳,电信,183.2.133.216
牛总,深圳,电信,183.2.133.217
牛总,深圳,电信,183.2.133.218
牛总,深圳,电信,183.2.133.219
牛总,深圳,电信,183.2.133.220
牛总,深圳,电信,183.2.133.221
牛总,深圳,电信,183.2.133.222
牛总,深圳,电信,183.2.133.223
牛总,深圳,电信,183.2.133.224
牛总,深圳,电信,183.2.133.225
牛总,深圳,电信,183.2.133.226
牛总,深圳,电信,183.2.133.227
牛总,深圳,电信,183.2.133.228
牛总,深圳,电信,183.2.133.229
牛总,深圳,电信,183.2.133.230
牛总,深圳,电信,183.2.133.231
牛总,深圳,电信,183.2.133.232
牛总,深圳,电信,183.2.133.233
牛总,深圳,电信,183.2.133.234
牛总,深圳,电信,183.2.133.235
牛总,深圳,电信,183.2.133.236
牛总,深圳,电信,183.2.133.237
牛总,深圳,电信,183.2.133.238
牛总,深圳,电信,183.60.123.171
牛总,深圳,电信,183.60.123.172
牛总,深圳,电信,183.60.123.173
牛总,深圳,电信,183.60.123.174
牛总,深圳,电信,183.60.123.175
牛总,深圳,电信,183.60.123.217
牛总,深圳,电信,183.60.123.218
牛总,深圳,电信,183.60.123.220
牛总,深圳,电信,183.60.123.221
牛总,深圳,电信,183.60.123.222
牛总,深圳,电信,183.60.123.225
牛总,深圳,电信,183.60.123.226
牛总,深圳,电信,183.60.123.227
牛总,深圳,电信,183.60.123.228
牛总,深圳,电信,183.60.123.229
牛总,深圳,电信,183.60.123.236
牛总,深圳,电信,183.60.123.237
牛总,深圳,电信,183.60.123.238
牛总,厦门,BGP,150.242.80.24
牛总,厦门,BGP,150.242.80.25
牛总,厦门,BGP,150.242.80.48
牛总,厦门,BGP,150.242.80.49
牛总,厦门,BGP,150.242.80.50
牛总,厦门,BGP,150.242.80.51
牛总,厦门,BGP,150.242.80.53
牛总,厦门,BGP,150.242.80.54
牛总,厦门,BGP,150.242.80.55
牛总,厦门,BGP,150.242.80.56
牛总,厦门,BGP,150.242.80.57
牛总,厦门,BGP,150.242.80.58
牛总,厦门,BGP,150.242.80.59
牛总,厦门,BGP,150.242.80.60
牛总,厦门,BGP,150.242.80.61
牛总,厦门,BGP,180.188.43.17
牛总,厦门,BGP,180.188.43.20
牛总,厦门,BGP,180.188.43.23
牛总,厦门,BGP,180.188.47.64
牛总,厦门,BGP,180.188.47.65
牛总,厦门,BGP,180.188.47.66
牛总,厦门,BGP,180.188.47.67
牛总,厦门,BGP,180.188.47.68
牛总,厦门,BGP,180.188.47.71
牛总,香港,HK,103.85.74.136
牛总,香港,HK,103.85.74.145
牛总,香港,HK,103.85.74.146
牛总,香港,HK,103.85.74.148
牛总,香港,HK,103.85.74.168
牛总,香港,HK,103.85.74.227
牛总,香港,HK,103.85.74.228
牛总,香港,HK,103.85.74.229
牛总,香港,HK,103.85.74.230
牛总,香港,HK,103.85.74.247
牛总,香港,HK,103.85.74.248
牛总,香港,HK,103.85.74.249
牛总,香港,HK,103.85.74.250
牛总,香港,HK,103.85.75.4
牛总,香港,HK,103.85.75.5
牛总,香港,HK,103.85.75.6
牛总,香港,HK,103.85.75.7
牛总,香港,HK,103.85.75.8
牛总,香港,HK,103.85.75.9
牛总,香港,HK,103.85.75.10
牛总,香港,HK,103.85.75.11
牛总,香港,HK,103.85.75.12
牛总,香港,HK,103.85.75.13
牛总,香港,HK,103.85.75.14
牛总,香港,HK,103.85.75.15
牛总,香港,HK,103.85.75.16
牛总,香港,HK,103.85.75.17
牛总,香港,HK,103.85.75.18
牛总,香港,HK,103.85.75.19
牛总,香港,HK,103.85.75.20
牛总,香港,HK,103.85.75.21
牛总,香港,HK,103.85.75.22
牛总,香港,HK,103.85.75.23
牛总,香港,HK,103.85.75.50
牛总,香港,HK,103.85.75.51
牛总,香港,HK,103.85.75.52
牛总,香港,HK,103.85.75.54
牛总,香港,HK,103.85.75.55
牛总,香港,HK,103.85.75.56
